Sample.num,Sample.name,RT batch,Adjusted Recommend. Dil,Adjusted Recommend. uL,Replicates
12404,Culture_UNTX_01,42,"1,000,000",1,1
12407,Culture_UNTX_02,42,"100,000",1,1
12408,Culture_UNTX_03,42,"100,000",1,1
12417,Culture_UNTX_04,42,"1,000,000",1,1
12424,Culture_UNTX_05,42,"1,000,000",1,1
12427,Culture_UNTX_06,42,"1,000,000",1,1
12430,Culture_UNTX_07,42,"1,000,000",1,1
12431,Culture_UNTX_08,42,"100,000",1,1
12449,Culture_Met_01,43,"1,000,000",1,1
12458,Culture_Met_02,43,"1,000,000",1,1
12466,Culture_Met_03,43,"1,000,000",1,1
12474,Culture_Met_04,43,"100,000",1,1
12478,Culture_Met_05,43,"100,000",1,1
12489,Culture_Met_06,43,"100,000",1,1
12494,Culture_Met_07,43,"100,000",1,1
12497,Culture_Met_08,45,"100,000",1,1
12498,Culture_Met+Dar_01,45,"100,000",1,1
12500,Culture_Met+Dar_02,45,"100,000",1,1
12509,Culture_Met+Dar_03,45,"100,000",1,1
12514,Culture_Met+Dar_04,45,"100,000",1,1
12517,Culture_Met+Dar_05,45,"100,000",1,1
12526,Culture_Met+Dar_06,45,"100,000",1,1
12530,Culture_Met+Dar_07,45,"100,000",1,1
12553,Culture_Met+Dar_08,50,"1,000,000",1,1
12556,Culture_Ins_01,50,"1,000,000",1,1
12577,Culture_Ins_02,50,"1,000,000",1,1
12594,Culture_Ins_03,51,"100,000",1,1
12596,Culture_Ins_04,51,"1,000,000",1,1
12601,Culture_Ins_05,51,"1,000,000",1,1
12604,Culture_Ins_06,51,"1,000,000",1,1
12617,Culture_Ins_07,51,"100,000",1,1
12619,Culture_Ins_08,51,"1,000,000",1,1
12625,Culture_PreRx_01,52,"1,000,000",1,1
12633,Culture_PreRx_02,52,"1,000,000",1,1
12634,Culture_PreRx_03,52,"1,000,000",1,1
12635,Culture_PreRx_04,52,"100,000",1,1
12636,Culture_PreRx_05,52,"100,000",1,1
12637,Culture_PreRx_06,52,"1,000,000",1,1
12641,Culture_PreRx_07,52,"1,000,000",1,1
12661,Culture_PreRx_08,52,"1,000,000",1,1
